article_ix,doi,title,abstract,article_topic1,article_topic2,article_data_type
177,10.1111/j.1540-5907.2008.00361.x,Social Networks and Collective Action,"Despite growing attention to the role of social context in determining political participation, the effect of the structure of social networks remains little examined. This article introduces a model of interdependent decision making within social networks, in which individuals have heterogeneous motivations to participate, and networks are defined via a qualitative typology mirroring common empirical contexts. The analysis finds that some metrics for networks' influence—size, the prevalence of weak ties, the presence of elites—have a more complex interaction with network structure and individual motivations than has been previously acknowledged. For example, in some contexts additional network ties decrease participation. This presents the potential for selection bias in empirical studies. The model offers a fuller characterization of the role of network structure and predicts expected levels of participation across network types and distributions of motivations as a function of network size, weak and strong ties, and elite influence.",,,
178,10.1111/j.1540-5907.2008.00362.x,"Confirmation Politics and The Legitimacy of the U.S. Supreme Court: Institutional Loyalty, Positivity Bias, and the Alito Nomination","Gibson, Caldeira, and Spence (2003a, 2003b, 2005) expound the theory of positivity bias in their analysis of the legitimacy of the U.S. Supreme Court in the aftermath of Bush v. Gore. This theory asserts that preexisting institutional loyalty shapes perceptions of and judgments about court decisions and events. In this article, we use the theory of positivity bias to investigate the preferences of Americans regarding the confirmation of Judge Samuel Alito as an associate justice of the Supreme Court. More specifically, from the theory of positivity bias, we derive the hypothesis that preferences on the Alito confirmation are shaped by anterior commitments to the Supreme Court. Based on an analysis of a national panel survey, we find that those who have a high level of loyalty toward the Supreme Court rely much more heavily on what we term judiciousness—in contrast to ideology, policy, and partisanship—in forming their opinions on whether to confirm Alito. Thus, institutional loyalty provides a decisive frame through which Americans view the activity of their Supreme Court.",,,
179,10.1111/j.1540-5907.2008.00363.x,Collective Bargaining and The Performance of the Public Schools,"Students of American politics rarely study public sector unions and their impacts on government. The literature sees bureaucratic power as rooted in expertise, but largely ignores the fact that bureaucrats often join unions to promote their own interests, and that the power of their unions may affect government and its performance. This article focuses on the public schools, which are among the most numerous government agencies in the country, and investigates whether collective bargaining by teachers—the key bureaucrats—affects the schools' capacity to educate children. Using California data, analysis shows that, in large school districts, restrictive labor contracts have a very negative impact on academic achievement, particularly for minority students. The evidence suggests, then, that public sector unions do indeed have important consequences for American public education. Whether they are consequential in other areas of government remains to be seen, but it is an avenue well worth pursuing.",,,
180,10.1111/j.1540-5907.2008.00364.x,Bureaucratic Job Mobility and The Diffusion of Innovations,"In studies of innovation, policy entrepreneurs recognize latent demand for new policies and then expend resources to promote them. But studies of policy entrepreneurs have generally focused on the demand for innovation, while neglecting the supply side of policy entrepreneurship. This article argues that bureaucratic labor markets affect the emergence of policy entrepreneurs, and so affect the diffusion of policy innovations across local governments in the United States. Analysis of a survey of municipal police chiefs and water utility managers relates governments' hiring and promotion policies to their adoption of professionally fashionable innovations. Agency heads who advanced to their current positions diagonally (arriving from another organization) are more likely to initiate these innovations than are agency heads who were promoted from within. Bureaucratic policy entrepreneurs emerge where government demand for innovation meets a supply of mobile administrators, who carry the priorities of their professions into the agencies that they serve.",,,
181,10.1111/j.1540-5907.2008.00365.x,"Friction and Party Manifesto Change in 25 Countries, 1945–98","Political processes are affected by “friction.” Due to cognitive limitations and institutional delays, political agendas do not adapt smoothly to real-world impulses; political agendas either ignore them or overreact. The first question this article tackles is whether the same punctuated change process can be observed in party manifestos. Secondly, it examines whether there are differences across political systems and across party lines. Thirdly, the study tries to account for differences in the degree of “punctuatedness” of party manifestos. Drawing on the vast dataset of the Manifesto Research Group, the article shows that party manifestos are indeed characterized by friction and resistance to change; it also establishes that there are considerable differences in frictional patterns between parties and political systems; and it finds that electoral fragmentation, government participation, and electoral volatility are key to understanding these differences.",,,
182,10.1111/j.1540-5907.2008.00366.x,A Model of Spoils Politics,"Accounts of state failure in the developing world frequently highlight a logic of “spoils politics” in which a government and an opposing faction vie for control of the state and the accompanying spoils. Attempts to buy the opposition off play a key role in this logic, and an informational problem often complicates these efforts. Because of limited transparancy, the government generally has a better idea about the actual size of the spoils than the opposition does. We formalize this aspect of spoils politics as a signaling game in which the government has private information about the size of the spoils and tries to co-opt the opposition by offering a share of the spoils. The opposition can accept the offer or reject it by fighting. Consistent with the strong empirical finding that the probability of civil war is higher when income is low, the probability of breakdown increases as the size of the spoils decreases. We also study the effects of uncertainty, the opposition's military strength, the cost of fighting, and power-sharing agreements on the probability of fighting.",,,
183,10.1111/j.1540-5907.2008.00367.x,The Effects of Strategic and Economic Interdependence on International Conflict Across Levels of Analysis,"This study develops a Social Network Analytic approach to conceptualize and measure interdependence across levels of analysis. This framework contains several innovations. First, it integrates “sensitivity interdependence”—the effects of changes in one state on other states—with “vulnerability interdependence”—the opportunity costs of breaking a relationship. Second, it measures interdependence at different levels of analysis and across multiple relationships. Third, it integrates multiple dimensions of interdependence into a single measure. I derive hypotheses from the realist and liberal paradigms regarding the effects of strategic and economic interdependence on monadic, dyadic, and systemic conflict. These hypotheses are tested via data on alliances, military capability, and trade. The findings provide robust support to the expectations of the liberal paradigm regarding the effects of strategic and economic interdependence on conflict. On the other hand, the expectations of the realist paradigm are not supported. I discuss the theoretical and empirical implications of this approach.",,,
184,10.1111/j.1540-5907.2008.00368.x,Bayesian Spatial Survival Models for Political Event Processes,"Research in political science is increasingly, but independently, modeling heterogeneity and spatial dependence. This article draws together these two research agendas via spatial random effects survival models. In contrast to standard survival models, which assume spatial independence, spatial survival models allow for spatial autocorrelation at neighboring locations. I examine spatial dependence in both semiparametric Cox and parametric Weibull models and in both individual and shared frailty models. I employ a Bayesian approach in which spatial autocorrelation in unmeasured risk factors across neighboring units is incorporated via a conditionally autoregressive (CAR) prior. I apply the Bayesian spatial survival modeling approach to the timing of U.S. House members' position announcements on NAFTA. I find that spatial shared frailty models outperform standard nonfrailty models and nonspatial frailty models in both the semiparametric and parametric analyses. The modeling of spatial dependence also produces changes in the effects of substantive covariates in the analysis.",,,
185,10.1111/j.1540-5907.2009.00369.x,"Contextual Factors and the Extreme Right Vote in Western Europe, 1980–2002","Research on the voters of the extreme right in Western Europe has become a minor industry, but relatively little attention has been paid to the twin question of why support for these parties is often unstable, and why the extreme right is so weak in many countries. Moreover, the findings from different studies often contradict each other. This article aims at providing a more comprehensive and satisfactory answer to this research problem by employing a broader database and a more adequate modeling strategy. The main finding is that while immigration and unemployment rates are important, their interaction with other political factors is much more complex than suggested by previous research. Moreover, persistent country effects prevail even if a whole host of individual and contextual variables is controlled for.",,,
186,10.1111/j.1540-5907.2009.00370.x,Retrospective Voting and Political Representation,"This article develops a theoretical model of political representation under the single-member district system. I establish the existence of equilibria in which legislative voting of each legislator depends only on her preference and her electorate's preference and voters sanction badly behaved incumbents and retain well-behaved ones based solely on their own representatives' roll-call records. In equilibrium, voters achieve a partial representation with respect to representatives' behavior in each district. However, with respect to representation of the social majority, my findings are indeterminate. On the one hand, there exists an equilibrium in which the majority-preferred alternative is the outcome guaranteed, except in very special circumstances. On the other hand, this equilibrium is not generally the unique equilibrium, and, for some parameter values, there is an equilibrium in which the majority-preferred alternative is less likely than the alternative preferred only by the minority to be the outcome.",,,
187,10.1111/j.1540-5907.2009.00371.x,Using Multimember District Elections to Estimate the Sources of the Incumbency Advantage,"In this article we use a novel research design that exploits unique features of multimember districts to estimate and decompose the incumbency advantage in state legislative elections. Like some existing related studies we also use repeated observations on the same candidates to account for unobserved factors that remain constant across observations. Multimember districts have the additional feature of copartisans competing for multiple seats within the same district. This allows us to identify both the direct office-holder benefits and the incumbent quality advantage over nonincumbent candidates from the same party. We find that the overall incumbency advantage is of similar magnitude as that found in previous studies. We attribute approximately half of this advantage to incumbents' quality advantage over open-seat candidates and the remainder to direct office-holder benefits. However, we also find some evidence that direct office-holder benefits are larger in competitive districts than in safe districts and in states with relatively large legislative budgets per capita.",,,
188,10.1111/j.1540-5907.2009.00372.x,Coalition-Targeted Duvergerian Voting: How Expectations Affect Voter Choice under Proportional Representation,"Inspired by analyses of majoritarian systems, students of consensual polities have analyzed strategic voting due to barriers to party success, namely, district magnitude and threshold. Given the prevalence of coalition governments in proportional systems, we analyze a type of strategic voting seldom studied: how expected coalition composition affects voter choice. We identify Duvergerian behavior by voters targeted at the coalition formation stage. We contend that when voters perceive their preferred party as unlikely to participate in the coalition, they often desert it and instead support the lesser of evils among those they perceive as viable coalition partners. We demonstrate our argument using data on coalition expectations from the 2006 Israeli elections. We find an appreciable albeit differential effect of coalition expectations on voter choice. Importantly, results hold controlling for ideological and coalition preferences. Lastly, we explore a broad cross-national comparison, showing that there is less, not more, proximity voting where coalitions are prevalent.",,,
189,10.1111/j.1540-5907.2009.00373.x,"Agency Problems, the 17th Amendment, and Representation in the Senate","A prominent change in American electoral institutions occurred when the 17th Amendment to the Constitution established direct election of U.S. Senators as of 1914. How did this change the political agency relationship between the mass electorate and U.S. Senators? We develop theoretical expectations about the representational effects of direct election by a relatively inexpert mass electorate and indirect election by a relatively expert political intermediary, based on principal-agent theory. The chief predictions are that the representative will be more responsive to the mass electorate under direct election, but will also have more discretion to pursue his or her own ends. We use the 17th Amendment as a quasi-experiment to test the predictions of the theory. Statistical models show strong support for both predictions. Moreover, the 17th Amendment is not associated with similar changes in the U.S. House of Representatives—as expected, since the amendment did not change House electoral institutions.",,,
190,10.1111/j.1540-5907.2009.00374.x,The Senate Electoral Cycle and Bicameral Appropriations Politics,"We consider the consequences of the Senate electoral cycle and bicameralism for distributive politics, introducing the concept of contested credit claiming, i.e., that members of a state's House and Senate delegations must share the credit for appropriations that originate in their chamber with delegation members in the other chamber. Using data that isolate appropriations of each chamber, we test a model of the strategic incentives contested credit claiming creates. Our empirical analysis indicates that the Senate electoral cycle induces a back-loading of benefits to the end of senatorial terms, but that the House blunts this tendency with countercyclical appropriations. Our analysis informs our understanding of appropriations earmarking and points a way forward in studying the larger consequences of bicameral legislatures.",,,
191,10.1111/j.1540-5907.2009.00375.x,Interest Group Competition and Coalition Formation,"This article investigates how interest group competition, a state of conflicting policy preferences stemming from how organizational memberships are defined, can resolve into conflict or cooperation. The strategic choices of competing lobbyists are modeled as the results of a trade-off between the need to represent members and please legislators, and the additional advocacy resources they hope to gain by agreeing to form coalitions with their competitors rather than fight them in resource-draining conflicts. Hypotheses derived from the model are tested with data from interviews with lobbyists on six issues taken up by the U.S. Congress from 1999 to 2002. The results suggest that while group members do have some limited power to constrain the policy positions taken on issues by their lobbyists, it is primarily the pressures from legislators and competitor groups that push lobbyists into collectively supporting coalition positions different from those desired by their members.",,,
192,10.1111/j.1540-5907.2009.00376.x,A Comparative Analysis of Political Communication Systems and Voter Turnout,"This article explores how political communication institutions affect cross-national differences in voter turnout in democratic elections. It demonstrates how the structure and means of conveying political messages—gauged by media systems, access to paid political television advertising, and campaign finance laws—explain variations in turnout across 74 countries. Relying on a “mobilization” perspective, I argue that institutional settings that reduce information costs for voters will increase turnout. The major empirical findings are twofold. First, campaign finance systems that allow more money (and electioneering communication) to enter election campaigns are associated with higher levels of voter turnout. Second, broadcasting systems and access to paid political television advertising explain cross-national variation in turnout, but their effects are more complex than initially expected. While public broadcasting clearly promotes higher levels of turnout, it also modifies the effect of paid advertising access on turnout.",,,
193,10.1111/j.1540-5907.2009.00377.x,Exploiting a Rare Communication Shift to Document the Persuasive Power of the News Media,"Using panel data and matching techniques, we exploit a rare change in communication flows—the endorsement switch to the Labour Party by several prominent British newspapers before the 1997 United Kingdom general election—to study the persuasive power of the news media. These unusual endorsement switches provide an opportunity to test for news media persuasion while avoiding methodological pitfalls that have plagued previous studies. By comparing readers of newspapers that switched endorsements to similar individuals who did not read these newspapers, we estimate that these papers persuaded a considerable share of their readers to vote for Labour. Depending on the statistical approach, the point estimates vary from about 10% to as high as 25% of readers. These findings provide rare evidence that the news media exert a powerful influence on mass political behavior.",,,
194,10.1111/j.1540-5907.2009.00378.x,How Predictive Appeals Affect Policy Opinions,"When political actors debate the merits of a public policy, they often focus on the consequences of a bill or legislative proposal, with supporters and opponents making stark but contradictory predictions about the future. Building upon the framing literature, I examine how rhetoric about a policy's consequences influences public opinion. I show that predictive appeals work largely by altering people's beliefs about the impact of a policy. Following in the tradition of recent framing research, this article also examines how opinions are influenced when people are exposed to opposing predictions. The analysis focuses on two strategies that are common in real-world debates—the direct rebuttal (in which an initial appeal is challenged by a statement making the opposite prediction) and the alternate frame (which counters an initial appeal by shifting the focus to some other consequence). There are important differences in the effectiveness of these two strategies—a finding that has implications for the study of competitive framing and the policymaking process more generally.",,,
195,10.1111/j.1540-5907.2009.00379.x,"Game Theory, Information, and Deliberative Democracy","We contend that, with a suitably broad notion of rationality and a diverse set of motivations, the game-theoretic tradition is particularly well suited for generating insights about effects of deliberative institutions and that progress in the development of deliberative democratic theory hinges on making proper sense of the relationship between game-theoretic and normative theoretic approaches to deliberation. To advance this view, we explore the central methodological issues at the core of that relationship and address the arguments raised against the relevance of game-theoretic work on deliberation. We develop a framework for thinking about the differences in how the normative and the game-theoretic approaches frame and answer questions about deliberation and articulate an approach to a deliberative democratic theory that builds on the strengths of both of these theoretic traditions, properly informed by empirical scholarship.",,,
196,10.1111/j.1540-5907.2009.00380.x,Campaign Learning and Vote Determinants,"How campaigns shape voters' decisions is central to the study of political behavior. The basic conclusion is simple: campaigns matter. While we know who campaigns influence, there is no clear empirical evidence of why or how campaigns matter. This comes from two things. First, despite different theories about campaigns, the existing studies measure the campaign as a function of time. Second, these studies ignore the individual-level psychological mediators of these effects. We know that there are differences across time during a campaign, but we do not know how or why. In this article I suggest that campaigns work by altering voters' uncertainty about the candidates and combine aggregate and individual-level data using a hierarchical logit estimated via Markov chain Monte Carlo methods. I find that voters change how they weigh their attitudes during the campaign because of changes in their uncertainty about the candidates.",,,
197,10.1111/j.1540-5907.2009.00381.x,"Interests, Institutions, and the Reliability of International Commitments","One feature associated with democratic governance is frequent leadership turnover. While the ease of replacing leaders improves accountability, it may impede the ability of democracies to make credible long-term international commitments. Using newly collected data that identify cases in which leaders who derive their support from different domestic interests come to power, we evaluate the effects of changes in domestic political leadership on one important aspect of foreign policy—decisions to maintain military alliances. An analysis covering bilateral alliances between 1919 and 2001 reveals that changes in societal supporting coalitions in nondemocratic states are associated with decisions to abrogate alliances prior to their scheduled end dates, but changes in societal supporting coalitions in democracies have no effect on the probability of premature alliance termination. We conclude that international cooperation is sensitive to changes in core supporting coalitions, but that this effect is moderated by democratic political institutions.",,,
198,10.1111/j.1540-5907.2009.00382.x,Power Sharing and Leadership Dynamics in Authoritarian Regimes,"I examine a fundamental problem of politics in authoritarian regimes: the dictator and the ruling coalition must share power and govern in an environment where political influence must be backed by a credible threat of violence. I develop a model of authoritarian politics in which power sharing is complicated by this conflict of interest: by exploiting his position, the dictator may acquire more power at the expense of the ruling coalition, which may attempt to deter such opportunism by threatening to stage a coup. Two power-sharing regimes, contested and established dictatorships, may emerge as a result of strategic behavior by the dictator and the ruling coalition. This theory accounts for the large variation in the duration of dictators' tenures and the concentration of power in dictatorships over time, and it contributes to our understanding of the dynamics of power sharing and accountability in authoritarian regimes.",,,
199,10.1111/j.1540-5907.2009.00383.x,Treating Words as Data with Error: Uncertainty in Text Statements of Policy Positions,"Political text offers extraordinary potential as a source of information about the policy positions of political actors. Despite recent advances in computational text analysis, human interpretative coding of text remains an important source of text-based data, ultimately required to validate more automatic techniques. The profession's main source of cross-national, time-series data on party policy positions comes from the human interpretative coding of party manifestos by the Comparative Manifesto Project (CMP). Despite widespread use of these data, the uncertainty associated with each point estimate has never been available, undermining the value of the dataset as a scientific resource. We propose a remedy. First, we characterize processes by which CMP data are generated. These include inherently stochastic processes of text authorship, as well as of the parsing and coding of observed text by humans. Second, we simulate these error-generating processes by bootstrapping analyses of coded quasi-sentences. This allows us to estimate precise levels of nonsystematic error for every category and scale reported by the CMP for its entire set of 3,000-plus manifestos. Using our estimates of these errors, we show how to correct biased inferences, in recent prominently published work, derived from statistical analyses of error-contaminated CMP data.",,,
200,10.1111/j.1540-5907.2009.00384.x,Portents of Pluralism: How Hybrid Regimes Affect Democratic Transitions,"The original studies of “competitive authoritarianism” and “hegemonic authoritarianism” inspected the occurrence of hybrid regimes during the 1990s but stopped short of testing their propensity for democratic change. This article assesses the causal effects of hybrid regimes, and the post–cold war period itself, on regime breakdown and democratization. Using a dataset of 158 regimes from 1975 to 2004, and a discrete measure for transitions to electoral democracy, I find that competitive authoritarian regimes are not especially prone to losing power but are significantly more likely to be followed by electoral democracy: vigorous electoral contestation does not independently subvert authoritarianism, yet it bodes well for democratic prospects once incumbents are overthrown.",,,
201,10.1111/j.1540-5907.2009.00385.x,The Democratic Domino Theory: An Empirical Investigation,"According to the democratic domino theory, increases or decreases in democracy in one country spread and “infect” neighboring countries, increasing or decreasing their democracy in turn. Using spatial econometrics and panel data that cover over 130 countries between 1850 and 2000, this article empirically investigates the democratic domino theory. We find that democratic dominoes do in fact fall as the theory contends. However, these dominoes fall significantly “lighter” than the importance of this model suggests. Countries “catch” only about 11% of the increases or decreases in their average geographic neighbors’ increases or decreases in democracy. This finding has potentially important foreign policy implications. The “lightness” with which democratic dominoes fall suggests that even if foreign military intervention aimed at promoting democracy in undemocratic countries succeeds in democratizing these nations, intervention is likely to have only a small effect on democracy in their broader regions.",,,
202,10.1111/j.1540-5907.2009.00386.x,How Foreign Aid Can Foster Democratization in Authoritarian Regimes,"Donors in recent years have made some foreign aid conditional on progress toward democracy. This study investigates whether and how such conditionality works in practice. The promise of higher aid if the country democratizes only provides an incentive for democratization for political leaders who expect to remain in office after democratization occurs. I show that dictators with large distributional coalitions, who have a good chance of winning fair elections, tend to respond to aid by democratizing. In contrast, aid helps dictators with the smallest distributional coalitions hang on to power. I present a model that shows a dictator's decision calculus, given different a priori support coalitions and varying degrees of aid conditionality, and test the model implications with data from 190 authoritarian regimes in 101 countries from 1960 to 2002.",,,
203,10.1111/j.1540-5907.2009.00387.x,Learning to Cooperate: Learning Networks and the Problem of Altruism,"We explore how two populations learn to cooperate with each other in the absence of institutional support. Individuals play iterated prisoner's dilemmas with the other population, but learn about successful strategies from their own population. Our agent-based evolutionary models reconfirm that cooperation can emerge rapidly as long as payoffs provide a selective advantage for nice, retaliatory strategies like tit-for-tat, although attainable levels of cooperation are limited by the persistence of nonretaliatory altruists. Learning processes that adopt the current best response strategy do well only when initial conditions are very favorable to cooperation, while more adaptive learning processes can achieve high levels of cooperation under a wider range of initial conditions. When combined with adaptive learning, populations having larger, better connected learning relationships outperform populations with smaller, less connected ones. Clustered relationships can also enhance cooperation, particularly in these smaller, less connected populations.",,,
204,10.1111/j.1540-5907.2009.00388.x,Bargaining in the Shadow of War: When Is a Peaceful Resolution Most Likely?,"This article derives the optimal bargaining strategies of the belligerents when each side has private but incomplete information about the expected outcome of a war, should it take place. I show that the aggressor's demand curve can be below the defender's offer curve, that wars are possible even when both sides are jointly pessimistic, and that the relative cost of a war can radically alter the types of disputes that end in war. A simple diagram provides the intuition for most of the major propositions.",,,
205,10.1111/j.1540-5907.2009.00389.x,Punctuated Equilibrium in Comparative Perspective,"We explore the impact of institutional design on the distribution of changes in outputs of governmental processes in the United States, Belgium, and Denmark. Using comprehensive indicators of governmental actions over several decades, we show that in each country the level of institutional friction increases as we look at processes further along the policy cycle. Assessing multiple policymaking institutions in each country allows us to control for the nature of the policy inputs, as all the institutions we consider cover the full range of social and political issues in the country. We find that all distributions exhibit high kurtosis values, significantly higher than the Normal distribution which would be expected if changes in government attention and activities were proportionate to changes in social inputs. Further, in each country, those institutions that impose higher decision-making costs show progressively higher kurtosis values. The results suggest general patterns that we hypothesize to be related to boundedly rational behavior in a complex social environment.",,,
206,10.1111/j.1540-5907.2009.00390.x,China's Local Political Budget Cycles,"This article examines the political budget cycles in Chinese counties. The shift to a more performance-based cadre evaluation and mobility system during the reform era has created an incentive structure for local leaders to increase government spending at strategically important time points during their tenure to enhance the prospect of official promotion. Such expenditures help local leaders to impress their superiors with economic and political achievements, especially those visible and quantifiable large-scale development projects. At the same time, economic and fiscal decentralization increased the capacity of local leaders to influence government budget expenditures as the need rises. The hypothesized curvilinear relationship between a leader's time in office and increased spending was tested using a comprehensive data set of all Chinese counties from 1997 through 2002. The panel data analysis shows that growth in local government spending per capita is the fastest during a leader's third and fourth years in office.",,,
207,10.1111/j.1540-5907.2009.00391.x,Balancing Regionalism and Localism: How Institutions and Incentives Shape American Transportation Policy,"Public policy decisions are increasingly made by regional governance efforts that involve diverse decision makers from multiple government units within a geographic region. These decision-making bodies face competing pressures to represent regional and local interests. We study how decision makers balance preferences for regionalism and localism within metropolitan planning organizations (MPOs), the policymaking entities that are responsible for implementing U.S. federal surface transportation policy at the regional level. Our model of regional governance relates variation in regional policy outcomes to the incentives of MPO decision makers and the institutional environments in which they interact. Analyzing data from a sample of the nation's largest metropolitan areas, we find that MPOs dominated by elected officials produce more locally focused policies, holding other factors constant, while MPOs dominated by nonelected public managers produce more regionally oriented policies. Contextual factors, as well as the regional governance institutions themselves, further shape the balance between regionalism and localism.",,,
208,10.1111/j.1540-5907.2009.00392.x,Local Institutions and the Politics of Urban Growth,"This article uses a political market framework to analyze how the structure of local political institutions affects the relative political influence of development and environmental interests in the context of urban growth. Using panel data from 406 Florida cities from 1998 to 2003, the empirical analysis finds important interaction effects between the structure of city executive branch institutions and interest group variables. The economic and political forces driving urban growth do not operate identically in all cities—they vary as a function of institutional context. Institutional structure helps determine which interest groups have their preferences reflected in local land-use changes and development patterns. The resulting patterns suggest a “sustainability paradox” wherein richer, environmental interests push for the preservation of environmental amenities while at the same time accelerating the number of residential units built in a community.",,,
209,10.1111/j.1540-5907.2009.00393.x,Does Gerrymandering Cause Polarization?,"Both pundits and scholars have blamed increasing levels of partisan conflict and polarization in Congress on the effects of partisan gerrymandering. We assess whether there is a strong causal relationship between congressional districting and polarization. We find very little evidence for such a link. First, we show that congressional polarization is primarily a function of the differences in how Democrats and Republicans represent the same districts rather than a function of which districts each party represents or the distribution of constituency preferences. Second, we conduct simulations to gauge the level of polarization under various “neutral” districting procedures. We find that the actual levels of polarization are not much higher than those produced by the simulations. We do find that gerrymandering has increased the Republican seat share in the House; however, this increase is not an important source of polarization.",,,
210,10.1111/j.1540-5907.2009.00394.x,The Dynamics of Partisan Conflict on Congressional Approval,"Partisan divisions in American politics have been increasing since the 1970s following a period where scholars thought parties were in decline. This polarization is observed most frequently within the debates and deliberation across issues within Congress. Given that most studies of public opinion place the behavior of elites at the center of public attitudes, surprisingly little research examines the effect of partisan conflict on the mass public. This research examines quarterly congressional approval data from 1974 to 2000 to determine the consequences, if any, of party conflict on the dynamics of congressional approval. The findings indicate that over-time changes in partisan conflict within Congress have a direct and lasting effect on how citizens think about Congress.",,,
211,10.1111/j.1540-5907.2009.00395.x,Presidential Saber Rattling and the Economy,"Saber rattling is a prominent tool of the U.S. president's foreign policy leadership. Yet there has been no study of how presidential saber rattling affects international or domestic political outcomes. This study evaluates how presidential saber rattling affects U.S. economic behavior and performance. Theoretically, the study demonstrates that presidential rhetoric affects the risks that economic actors are willing to take, as well as the consequences of these resulting behaviors for U.S. economic performance. Using monthly time series running from January 1978 through January 2005, vector autoregression methods are applied to show that increased presidential saber rattling produces increased perceptions of negative economic news, declining consumer confidence, lower personal consumption expenditures, less demand for money, and slower economic growth. More broadly, the study demonstrates an important linkage between the president's two most important roles: foreign and economic policy leadership. The president's foreign policy pronouncements not only impact other nations, but also affect domestic economic outcomes.",,,
212,10.1111/j.1540-5907.2009.00396.x,Antisocial Security: The Puzzle of Beggar-Thy-Children Policies,"The U.S. Social Security program has irrevocably transferred substantial wealth from workers to their ostensibly altruistic parents. After some alternative explanations for this paradox are addressed, a formal model is developed to show that a majority of rational voters who care about their descendants can support the preservation of current benefits for themselves but accept the prospect of Social Security's future retrenchment. Incorporating elements of Tabellini's (2000) positive theory of Social Security and Bénabou and Ok's (2001) analysis of income mobility, the model identifies specific forces affecting this time-varying individual support for Social Security. These forces are embodied in three hypotheses related to income mobility, relative income level, and age. An ordered logit analysis of cumulative ANES data supports these hypotheses.",,,
213,10.1111/j.1540-5907.2009.00397.x,What Small Spatial Scales Are Relevant as Electoral Contexts for Individual Voters? The Importance of the Household on Turnout at the 2001 General Election,"For many years, scholars of voting behavior have been thwarted in their attempts to identify micro spatial variations in turnout by data limitations. This has meant that most analyses have been ecological, which has implications for valid inference. Here, for the first time, a hierarchical approach is used to show the relative importance of several micro spatial scales, including the household, on voter participation. The findings highlight the importance of the household context. While those who live together often turn out together, the relative level of clustering within households as opposed to between geographical areas is found to be more important for two-person households compared to other households. Even after taking account of whether individuals are likely to self-select others from similar social backgrounds or with similar political attitudes, there is strong evidence of large and significant household effects on voter participation.",,,
214,10.1111/j.1540-5907.2009.00398.x,Systematically Dependent Competing Risks and Strategic Retirement,"In many applications of survival analysis, the risk of an event occurring for one reason is dependent on the risk of the same event occurring for another reason. For example, when politicians suspect they might lose an election, they may strategically choose to retire. In such situations, the often-used multinomial logit model suffers from bias and underestimates the degree of strategic retirement, for example, to what extent poor prior electoral performance diminishes electoral prospects. To address this problem, the present article proposes a systematically dependent competing-risks (SDCR) model of survival analysis. Unlike the frailty model, the SDCR model can also deal with more than two risks. Monte Carlo simulation demonstrates how much the SDCR model reduces bias. Reanalysis of data on U.S. congressional careers (Box-Steffensmeier and Jones 2004) documents the strategic retirement of representatives, indicating that electoral pressure is more effective at turning out incumbents than previously recognized.",,,
215,10.1111/j.1540-5907.2009.00399.x,Educating the Least Informed: Group Endorsements in a Grassroots Campaign,"Theories of low-information rationality claim that uninformed voters can compensate for their lack of political knowledge by employing heuristics, such as interest group endorsements, to make voting decisions as if they were fully informed. Critics of low-information rationality contend that politically unaware voters are unlikely to use group endorsements effectively as a heuristic since they are unlikely to know the political relevance of interest groups. We address this debate by entertaining the possibility that contextual information coupled with a source cue may enhance the effectiveness of group endorsements as a heuristic. We test competing expectations with a field experiment conducted during the 2006 election in two highly competitive Pennsylvania statehouse races where a well-known liberal interest group endorsed Democratic candidates and canvassed both core supporters and Republicans believed to be likeminded. Our results reveal that Republicans used the endorsement as a negative voting cue and that the group's endorsement helped some Republicans compensate for their lack of awareness about politics.",,,
216,10.1111/j.1540-5907.2009.00400.x,Civic Engagement and Education: An Empirical Test of the Sorting Model,"According to the sorting model of education, the impact of education on civic engagement is relative, rather than absolute. Education correlates with greater engagement because it is a marker of social status; the degree of status conferred by your level of education is determined by the average level of education within your environment. This article tests the sorting model by paying strict heed to its assumptions. The analysis confirms the model, but considerably narrows its reach. Sorting applies only to one particular type (electoral activity), only when the educational environment accounts for variation across age and place, and only when one models the interactive relationship between education at the individual and environmental levels. Furthermore, sorting applies more to men than women. The same analytical framework demonstrates that being in a more highly educated environment amplifies the relationship between education and democratic enlightenment (political knowledge and tolerance).",,,
217,10.1111/j.1540-5907.2009.00401.x,Don't Forget to Vote: Text Message Reminders as a Mobilization Tool,"Current explanations of effective voter mobilization strategies maintain that turnout increases only when a potential voter is persuaded to participate through increased social connectedness. The connectedness explanation does not take into account, however, that registered voters, by registering, have already signaled their interest in voting. The theory presented in this article predicts that impersonal, noticeable messages can succeed in increasing the likelihood that a registered voter will turn out by reminding the recipient that Election Day is approaching. Text messaging is examined as an example of an impersonal, noticeable communication to potential voters. A nationwide field experiment (n = 8,053) in the 2006 election finds that text message reminders produce a statistically significant 3.0 percentage point increase in the likelihood of voting. While increasing social connectedness has been shown to positively affect voter turnout, the results of this study, in combination with empirical evidence from prior studies, suggest that connectedness is not a necessary condition for a successful mobilization campaign. For certain voters, a noticeable reminder is sufficient to drive them to the polls.",,,
