"","doi","author","title","citation","checked"
"1127","10.1257/aer.91.2.189","Baker, George Hubbard, Thomas N.","Empirical Strategies in Contract Economics: Information and the Boundary of the Firm","9",1
"1128","10.1257/aer.91.2.184","Whinston, Michael D.","Assessing the Property Rights and Transaction-Cost Theories of Firm Scope","36",1
"1129","10.1257/aer.91.2.178","Mason, Patrick L.","Annual Income and Identity Formation among Persons of Mexican Descent","6",1
"1130","10.1257/aer.91.2.174","Chung, Chanjin Myers, Samuel L. Saunders, Lisa","Racial Differences in Transportation Access to Employment in Chicago and Los Angeles, 1980 and 1990","8",1
"1131","10.1257/aer.91.2.169","Agesa, Jacqueline Agesa, Richard U. Hoover, Gary A.","Market Structure and Racial Earnings: Evidence from Job-Changers","1",1
"1132","10.1257/aer.91.2.164","Peoples, James Talley, Wayne K.","Black-White Earnings Differentials: Privatization versus Deregulation","7",1
"1133","10.1257/aer.91.2.155","Bowles, Samuel Gintis, Herbert Osborne, Melissa","Incentive-Enhancing Preferences: Personality, Behavior, and Earnings","99",1
"1134","10.1257/aer.91.2.150","Dunifon, Rachel Duncan, Greg J. Brooks-Gunn, Jeanne","As Ye Sweep, So Shall Ye Reap","18",1
"1135","10.1257/aer.91.2.145","Heckman, James J. Rubinstein, Yona","The Importance of Noncognitive Skills: Lessons from the GED Testing Program","285",1
"1136","10.1257/aer.91.2.140","Aughinbaugh, Alison","Signals of Child Achievement as Determinants of Child Support","3",1
"1137","10.1257/aer.91.2.159","Carnevale, Anthony P. Fry, Richard A. Lowell, B. Lindsay","Understanding, Speaking, Reading, Writing, and Earnings in the Immigrant Labor Market","13",1
"1138","10.1257/aer.91.2.135","Powers, Elizabeth T.","New Estimates of the Impact of Child Disability on Maternal Employment","40",1
"1139","10.1257/aer.91.2.130","Del Boca, Daniela Ribero, Rocio","The Effect of Child-Support Policies on Visitations and Transfers","12",1
"1140","10.1257/aer.91.2.125","Argys, Laura M. Peters, H. Elizabeth","Interactions between Unmarried Fathers and Their Children: The Role of Paternity Establishment and Child-Support Policies","13",1
"1141","10.1257/aer.91.2.119","Ichimura, Hidehiko Taber, Christopher","Propensity-Score Matching with Instrumental Variables","10",1
"1142","10.1257/aer.91.2.112","Smith, Jeffrey A. Todd, Petra E.","Reconciling Conflicting Evidence on the Performance of Propensity-Score Matching Methods","87",1
"1143","10.1257/aer.91.2.107","Heckman, James J. Vytlacil, Edward","Policy-Relevant Treatment Effects","54",1
"1144","10.1257/aer.91.2.103","Manski, Charles F.","Designing Programs for Heterogeneous Populations: The Value of Covariate Information","8",1
"1145","10.1257/aer.91.2.97","Card, David Lemieux, Thomas","Going to College to Avoid the Draft: The Unintended Legacy of the Vietnam War","61",1
"1146","10.1257/aer.91.2.91","Dee, Thomas S. Evans, William N.","Behavior Policies and Teen Traffic Safety","19",1
"1147","10.1257/aer.91.2.85","Gruber, Jonathan","Youth Smoking in the 1990's: Why Did It Rise and What Are the Long-Run Implications?","22",1
"1148","10.1257/aer.91.2.79","Levitt, Steven D. Venkatesh, Sudhir Alladi","Growing Up in the Projects: The Economic Lives of a Cohort of Men Who Came of Age in Chicago Public Housing","26",1
"1149","10.1257/aer.91.2.73","Henrich, Joseph Boyd, Robert Bowles, Samuel Camerer, Colin Fehr, Ernst Gintis, Herbert McElreath, Richard","In Search of Homo Economicus: Behavioral Experiments in 15 Small-Scale Societies","742",1
"1150","10.1257/aer.91.2.67","Bertrand, Marianne Mullainathan, Sendhil","Do People Mean What They Say? Implications for Subjective Survey Data","382",1
"1151","10.1257/aer.91.2.60","Hansen, LarsPeter Sargent, Thomas J.","Robust Control and Model Uncertainty","237",1
"1152","10.1257/aer.91.2.55","Chamberlain, Gary","Minimax Estimation and Forecasting in a Stationary Autoregression Model","4",1
"1153","10.1257/aer.91.2.51","Sims, Christopher A.","Pitfalls of a Minimax Approach to Model Uncertainty","33",1
"1154","10.1257/aer.91.2.45","Epstein, Larry G.","Sharing Ambiguity","14",1
"1155","10.1257/aer.91.2.39","Lamoreaux, Naomi R. Sokoloff, Kenneth L.","Market Trade in Patents and the Rise of a Class of Specialized Inventors in the 19th-Century United States","34",1
"1156","10.1257/aer.91.2.34","Ohanian, Lee E.","Why Did Productivity Fall So Much during the Great Depression?","25",1
"1157","10.1257/aer.91.2.29","Findlay, Ronald Jones, Ronald W.","Input Trade and the Location of Production","9",1
"1158","10.1257/aer.91.2.24","Hanushek, Eric A.","Black-White Achievement Differences and Governmental Interventions","7",1
"1159","10.1257/aer.91.2.18","Goldin, Claudia Katz, Lawrence F.","The Legacy of U.S. Educational Leadership: Notes on Distribution and Economic Growth in the 20th Century","26",1
"1160","10.1257/aer.91.2.12","Barro, Robert J.","Human Capital and Growth","246",1
"1161","10.1257/aer.91.2.1","Hall, Robert E.","Struggling to Understand the Stock Market","36",1
"1162","10.1257/aer.91.2.i","","Front Matter","0",1
"1163","10.1257/aer.91.1.342","Leuven, Edwin Oosterbeek, Hessel","Firm-Specific Human Capital as a Shared Investment: Comment","8",1
"1164","10.1257/aer.91.1.335","Di Tella, Rafael MacCulloch, Robert J. Oswald, Andrew J.","Preferences over Inflation and Unemployment: Evidence from Surveys of Happiness","446",1
"1165","10.1257/aer.91.1.320","DeWenter, Kathryn L. Malatesta, Paul H.","State-Owned and Privately Owned Firms: An Empirical Analysis of Profitability, Leverage, and Labor Intensity","213",1
"1166","10.1257/aer.91.1.305","Maki, Dean M.","Household Debt and the Tax Reform Act of 1986","14",1
"1167","10.1257/aer.91.1.295","Grubb, Farley","The Market Evaluation of Criminality: Evidence from the Auction of British Convict Labor in America, 1767-1775","6",1
"1168","10.1257/aer.91.1.287","Steckel, Richard H. Prince, Joseph M.","Tallest in the World: Native Americans of the Great Plains in the Nineteenth Century","43",1
"1169","10.1257/aer.91.1.272","Collins, William J.","Race, Roosevelt, and Wartime Production: Fair Employment in World War II Labor Markets","24",1
"1170","10.1257/aer.91.1.260","Weitzman, Martin L.","Gamma Discounting","267",1
"1171","10.1257/aer.91.1.240","Jensen, Richard Thursby, Marie","Proofs and Prototypes for Sale: The Licensing of University Inventions","390",1
"1172","10.1257/aer.91.1.225","Lizzeri, Alessandro Persico, Nicola","The Provision of Public Goods under Alternative Electoral Incentives","203",1
"1173","10.1257/aer.91.1.208","Jeitschko, Thomas D. Taylor, Curtis R.","Local Discouragement and Global Collapse: A Theory of Coordination Avalanches","7",1
"1174","10.1257/aer.91.1.187","Blanchard, Olivier Portugal, Pedro","What Hides Behind an Unemployment Rate: Comparing Portuguese and U.S. Labor Markets","139",1
"1175","10.1257/aer.91.1.167","Benhabib, Jess Schmitt-Grohe, Stephanie Uribe, Martin","Monetary Policy and Multiple Equilibria","119",1
"1176","10.1257/aer.91.1.149","Boldrin, Michele Christiano, Lawrence J. Fisher, Jonas D. M.","Habit Persistence, Asset Returns, and the Business Cycle","262",1
"1177","10.1257/aer.91.1.128","Abel, Andrew B.","The Effects of Investing Social Security Funds in the Stock Market When Fixed Costs Prevent Some Households from Holding Stocks","19",1
"1178","10.1257/aer.91.1.99","Campbell, John Y. Viceira, LuisM.","Who Should Buy Long-Term Bonds?","135",1
"1179","10.1257/aer.91.1.79","Benartzi, Shlomo Thaler, Richard H.","Naive Diversification Strategies in Defined Contribution Saving Plans","299",1
"1180","10.1257/aer.91.1.54","Faccio, Mara Lang, Larry H. P. Young, Leslie","Dividends and Expropriation","378",1
"1181","10.1257/aer.91.1.33","Warner, John T. Pleeter, Saul","The Personal Discount Rate: Evidence from Military Downsizing Programs","139",1
"1182","10.1257/aer.91.1.1","Jorgenson, Dale W.","Information Technology and the U.S. Economy",NA,1
"1183","10.1257/aer.91.1.i","","Front Matter","0",1
"1184","10.1257/00028280260344803","Fey, Mark Kim, Jaehoon","The Swing Voter's Curse: Comment","1",1
"1185","10.1257/000282802762024755","Ishiguro, Shingo","Optimal Incentives for Teams: Comment","1",1
"1186","10.1257/000282803321455449","Hanemann, W. Michael","Willingness To Pay and Willingness To Accept: How Much Can They Differ? Reply",NA,1
"1187","10.1257/000282803321947678","","Certificate of Incorporation and Bylaws",NA,1
"1188","10.1257/000282803322157250","","Auditors' Report/Audited Financial Statements","0",1
"1189","10.1257/000282803769206412","Kremer, Michael Morcom, Charles","Elephants: Reply","0",1
"1190","10.1257/000282803322655581","Hart, Sergiu Mas-Colell, Andreu","Uncoupled Dynamics Do Not Lead to Nash Equilibrium",NA,1
"1191","10.1257/000282804322970904","McCullough B. D. Vinod H. D.","Verifying the Solution from a Nonlinear Solver: A Case Study: Reply","3",1
"1192","10.1257/0002828041301669","","Information on the Association","0",1
"1193","10.1257/0002828041464515","","Independent Auditors' Report","0",1
"1194","10.1257/0002828042002598","Cooper, Russell Willis, Jonathan L.","A Comment on the Economics of Labor Adjustment: Mind the Gap: Rejoinder","2",1
"1195","10.1257/0002828043052187","Frey, Bruno S. Meier, Stephan","Social Comparisons and Pro-social Behavior: Testing ""Conditional Cooperation"" in a Field Experiment","227",1
"1196","10.1257/0002828053828536","Engelbrecht-Wiggans, Richard List, John A. Reiley, David H.","Demand Reduction in Multi-Unit Auctions: Evidence from a Sportscard Field Experiment: Reply","0",1
"1197","10.1257/000282805774669664","Ihrig, Jane","The Influence of Technology on Foreign Direct Investment","0",1
"1198","10.1257/0002828054201440","","Auditors' Report/Audited Financial Statements","0",1
"1199","10.1257/0002828054825592","Osborne, Martin J. Rosenthal, Jeffrey S. Turner, Matthew A.","Meetings with Costly Participation: Reply","1",1
"1200","10.1257/000282805775014399","Mankiw, N. Gregory","The Savers-Spenders Theory of Fiscal Policy: Corrigendum","0",1
"1201","10.1257/000282805775014263","Behrman, Jere R. Rosenzweig, Mark R.","Does Increasing Women's Schooling Raise the Schooling of the Next Generation? Reply",NA,1
"1202","10.1257/000282805775014353","Antonovics, Kate L. Goldberger, Arthur S.","Does Increasing Women's Schooling Raise the Schooling of the Next Generation? Comment",NA,1
"1203","10.1257/000282805775014362","Dufwenberg, Martin Lindqvist, Tobias Moore, Evan","Bubbles and Experience: An Experiment","0",1
"1204","10.1257/000282805775014326","Ashcraft, Adam B.","Are Banks Really Special? New Evidence from the FDIC-Induced Failure of Healthy Banks",NA,1
"1205","10.1257/000282805775014416","Hay, Bruce Spier, Kathryn E.","Manufacturer Liability for Harms Caused by Consumers to Others","7",1
"1206","10.1257/000282805775014407","Karlan, Dean S.","Using Experimental Economics to Measure Social Capital and Predict Financial Decisions","213",1
"1207","10.1257/000282805775014272","Hsieh, Chang-Tai Woo, Keong T.","The Impact of Outsourcing to China on Hong Kong's Labor Market","51",1
"1208","10.1257/000282805775014380","Cervellati, Matteo Sunde, Uwe","Human Capital Formation, Life Expectancy, and the Process of Development","102",1
"1209","10.1257/000282805775014290","Knight, Brian","Estimating the Value of Proposal Power","37",1
"1210","10.1257/000282805775014344","Sappington, David E. M","On the Irrelevance of Input Prices for Make-or-Buy Decisions","31",1
"1211","10.1257/000282805775014461","Ivković, Zoran Poterba, James Weisbenner, Scott","Tax-Motivated Trading by Individual Investors","52",1
"1212","10.1257/000282805775014434","Bó, Pedro Dal","Cooperation under the Shadow of the Future: Experimental Evidence from Infinitely Repeated Games","126",1
"1213","10.1257/000282805775014281","Davidoff, Thomas Brown, Jeffrey R. Diamond, Peter A.","Annuities and Individual Welfare","123",1
"1214","10.1257/000282805775014254","Morrison, Alan D. White, Lucy","Crises and Capital Requirements in Banking","37",1
"1215","10.1257/000282805775014236","Dafny, Leemore S.","How Do Hospitals Respond to Price Changes?","79",1
"1216","10.1257/000282805775014425","Doepke, Matthias Zilibotti, Fabrizio","The Macroeconomics of Child Labor Regulation","68",1
"1217","10.1257/000282805775014371","Rossi-Hansberg, Esteban","A Spatial Theory of Trade","44",1
"1218","10.1257/000282805775014335","Israel, Mark","Services as Experience Goods: An Empirical Examination of Consumer Learning in Automobile Insurance","19",1
"1219","10.1257/000282805775014443","Cipriani, Marco Guarino, Antonio","Herd Behavior in a Laboratory Financial Market","40",1
"1220","10.1257/000282805775014317","Drehmann, Mathias Oechssler, Jörg Roider, Andreas","Herding and Contrarian Behavior in Financial Markets: An Internet Experiment","59",1
"1221","10.1257/000282805775014245","Santos-Pinto, Luís Sobel, Joel","A Model of Positive Self-Image in Subjective Assessments","31",1
"1222","10.1257/000282805775014452","Guriev, Sergei Kvasov, Dmitriy","Contracting on Time","20",1
"1223","10.1257/000282805775014308","Aragones, Enriqueta Gilboa, Itzhak Postlewaite, Andrew Schmeidler, David","Fact-Free Learning","27",1
"1224","10.1257/0002828054825628","De Sinopoli, Francesco Iannantuoni, Giovanna","Meetings with Costly Participation: Comment","1",1
"1225","10.1257/0002828054825664","Grubb, Farley W.","State ""Currencies"" and the Transition to the U.S. Dollar: Reply-Including a New View from Canada","6",1
"1226","10.1257/0002828054825547","Lang, Kevin Manove, Michael Dickens, William T.","Racial Discrimination in Labor Markets with Posted Wage Offers","29",1
"1227","10.1257/0002828054825484","Urquiola, Miguel","Does School Choice Lead to Sorting? Evidence from Tiebout Variation","24",1
"1228","10.1257/0002828054825583","Charness, Gary Levin, Dan","When Optimal Choices Feel Wrong: A Laboratory Study of Bayesian Updating, Complexity, and Affect","56",1
"1229","10.1257/0002828054825637","Dasgupta, Partha Maskin, Eric","Uncertainty and Hyperbolic Discounting","68",1
"1230","10.1257/0002828054825510","Parry, Ian W. H. Small, Kenneth A.","Does Britain or the United States Have the Right Gasoline Tax?","199",1
"1231","10.1257/0002828054825565","Catão, Luis A. V. Solomou, Solomos N.","Effective Exchange Rates and the Classical Gold Standard Adjustment","21",1
"1232","10.1257/0002828054825529","Chay, Kenneth Y. McEwan, Patrick J. Urquiola, Miguel","The Central Role of Noise in Evaluating Interventions That Use Test Scores to Rank Schools","79",1
"1233","10.1257/0002828054825501","Moser, Petra","How Do Patent Laws Influence Innovation? Evidence from Nineteenth-Century World's Fairs","113",1
"1234","10.1257/0002828054825574","Banerjee, Abhijit Iyer, Lakshmi","History, Institutions, and Economic Performance: The Legacy of Colonial Land Tenure Systems in India","192",1
"1235","10.1257/0002828054825682","Hoff, Karla Sen, Arijit","Homeownership, Community Interactions, and Segregation","13",1
"1236","10.1257/0002828054825691","Peek, Joe Rosengren, Eric S.","Unnatural Selection: Perverse Incentives and the Misallocation of Credit in Japan","111",1
"1237","10.1257/0002828054825556","Parker, Jonathan A. Preston, Bruce","Precautionary Saving and Consumption Fluctuations","23",1
"1238","10.1257/0002828054825493","Brunnermeier, Markus K. Parker, Jonathan A.","Optimal Expectations","143",1
"1239","10.1257/0002828054825673","Daughety, Andrew F. Reinganum, Jennifer F.","Secrecy and Safety","19",1
"1240","10.1257/0002828054825600","Antràs, Pol","Incomplete Contracts and the Product Cycle","104",1
"1241","10.1257/0002828054825619","Mullainathan, Sendhil Shleifer, Andrei","The Market for News","226",1
"1242","10.1257/0002828054825646","Pagano, Marco Volpin, Paolo F.","The Political Economy of Corporate Governance","223",1
"1243","10.1257/0002828054825538","Snyder Jr., James M. Ting, Michael M. Ansolabehere, Stephen","Legislative Bargaining under Weighted Voting","60",1
"1244","10.1257/0002828054825655","Alesina, Alberto Angeletos, George-Marios","Fairness and Redistribution","229",1
"1245","10.1257/0002828054825475","DeMarzo, Peter M. Kremer, Ilan Skrzypacz, Andrzej","Bidding with Securities: Auctions and Security Design","30",1
"1246","10.1257/0002828054825466","Hatfield, John William Milgrom, Paul R.","Matching with Contracts","157",1
"1247","10.1257/0002828054201459","Holt, Charles A. Laury, Susan K.","Risk Aversion and Incentive Effects: New Data without Order Effects","102",1
"1248","10.1257/0002828054201378","Harrison, Glenn W. Johnson, Eric McInnes, Melayne M. Rutström, E. Elisabet","Risk Aversion and Incentive Effects: Comment","92",1
"1249","10.1257/0002828054201288","Lengwiler, Yvan","Heterogeneous Patience and the Term Structure of Real Interest Rates","7",1
"1250","10.1257/0002828054201323","McKinney, C. Nicholas Niederle, Muriel Roth, Alvin E.","The Collapse of a Medical Labor Clearinghouse (and Why Such Failures Are Rare)","23",1
"1251","10.1257/0002828054201297","Prat, Andrea","The Wrong Kind of Transparency","129",1
"1252","10.1257/0002828054201260","Grimaud, Antoine Faure- Inderst, Roman","Conglomerate Entrenchment under Optimal Financial Contracting","7",1
"1253","10.1257/0002828054201404","Saez, Emmanuel Veall, Michael R.","The Evolution of High Incomes in Northern America: Lessons from Canadian Evidence","87",1
"1254","10.1257/0002828054201314","Cai, Hongbin Treisman, Daniel","Does Competition for Capital Discipline Governments? Decentralization, Globalization, and Public Policy","62",1
"1255","10.1257/0002828054201468","Montalvo, José G. Reynal-Querol, Marta","Ethnic Polarization, Potential Conflict, and Civil Wars","331",1
"1256","10.1257/0002828054201242","Burgess, Robin Pande, Rohini","Do Rural Banks Matter? Evidence from the Indian Social Banking Experiment","128",1
"1257","10.1257/0002828054201251","Saint-Paul, Gilles","Some Evolutionary Foundations for Price Level Rigidity","1",1
"1258","10.1257/0002828054201477","Iacoviello, Matteo","House Prices, Borrowing Constraints, and Monetary Policy in the Business Cycle","340",1
"1259","10.1257/0002828054201332","Crucini, Mario J. Telmer, Chris I. Zachariadis, Marios","Understanding European Real Exchange Rates","76",1
"1260","10.1257/0002828054201396","Hummels, David Klenow, Peter J.","The Variety and Quality of a Nation's Exports","378",1
"1261","10.1257/0002828054201495","Michener, Ronald W. Wright, Robert E.","State ""Currencies"" and the Transition to the U.S. Dollar: Clarifying Some Confusions","10",1
"1262","10.1257/0002828054201422","Dow, James Gorton, Gary Krishnamurthy, Arvind","Equilibrium Investment and Asset Prices under Imperfect Corporate Control","15",1
"1263","10.1257/0002828054201369","Battaglini, Marco","Long-Term Contracting with Markovian Consumers","54",1
"1264","10.1257/0002828054201413","Besley, Timothy Ghatak, Maitreesh","Competition and Incentives with Motivated Agents","262",1
"1265","10.1257/0002828054201279","Alesina, Alberto Angeloni, Ignazio Etro, Federico","International Unions","56",1
"1266","10.1257/0002828054201486","Soares, Rodrigo R.","Mortality Reductions, Educational Attainment, and Fertility Choice","112",1
"1267","10.1257/0002828054201305","Acemoglu, Daron Johnson, Simon Robinson, James","The Rise of Europe: Atlantic Trade, Institutional Change, and Economic Growth","307",1
"1268","10.1257/0002828054201387","Plott, Charles R. Zeiler, Kathryn","The Willingness to Pay-Willingness to Accept Gap, the ""Endowment Effect,"" Subject Misconceptions, and Experimental Procedures for Eliciting Valuations","241",1
"1269","10.1257/0002828054201350","Duffy, John Fisher, Eric O'N.","Sunspots in the Laboratory","17",1
"1270","10.1257/0002828054201431","Cooper, David J. Kagel, John H.","Are Two Heads Better Than One? Team versus Individual Play in Signaling Games","120",1
"1271","10.1257/0002828054201341","","William Allen Brock","0",1
"1272","10.1257/000282805774669853","","Universal Academic Questionnaire Summary Statistics",NA,1
"1273","10.1257/000282805774669592","","Representative to the International Economic Association","0",1
"1274","10.1257/000282805774669682","","Search Committee for the Editor of the AER",NA,1
"1275","10.1257/000282805774670239","","Committee on the Status of Women in the Economics Profession","3",1
"1276","10.1257/000282805774669970","","Committee on Economic Education","0",1
"1277","10.1257/000282805774670202","","Director Job Openings for Economists","0",1
"1278","10.1257/000282805774670338","","Editor Journal of Economic Perspectives","0",1
"1279","10.1257/000282805774669826","","Editor Journal of Economic Literature","1",1
"1280","10.1257/000282805774670473","","Editor, American Economic Review","2",1
"1281","10.1257/000282805774670400","","Finance Committee","1",1
"1282","10.1257/000282805774669745","","Treasurer","0",1
"1283","10.1257/000282805774670491","","Secretary","0",1
"1284","10.1257/000282805774670301","","Minutes of the Executive Committee Meetings","0",1
"1285","10.1257/000282805774669835","","Minutes of the Annual Meeting","0",1
"1286","10.1257/000282805774669862","","Information on the Association","0",1
"1287","10.1257/000282805774670112","McCabe, Mark J. Snyder, Christopher M.","Open Access and Academic Journal Quality","30",1
"1288","10.1257/000282805774670347","Nevo, Aviv Rubinfeld, Daniel L. McCabe, Mark","Academic Journal Pricing and the Demand of Libraries","8",1
"1289","10.1257/000282805774669565","Edlin, Aaron S. Rubinfeld, Daniel L.","The Bundling of Academic Journals","10",1
"1290","10.1257/000282805774670374","Page, Benjamin R.","CBO's Analysis of the Macroeconomic Effects of the President's Budget","1",1
"1291","10.1257/000282805774669754","Altshuler, Rosanne Bull, Nicholas Diamond, John Dowd, Tim Moomau, Pamela","The Role of Dynamic Scoring in the Federal Budget Process: Closing the Gap between Theory and Practice","1",1
"1292","10.1257/000282805774670004","Carroll, Robert Hrung, Warren","What Does the Taxable Income Elasticity Say About Dynamic Responses to Tax Changes?","8",1
"1293","10.1257/000282805774670275","Auerbach, Alan J.","Dynamic Scoring: An Introduction to the Issues","14",1
"1294","10.1257/000282805774670194","Diebold, Francis X. Piazzesi, Monika Rudebusch, Glenn D.","Modeling Bond Yields in Finance and Macroeconomics","53",1
"1295","10.1257/000282805774669934","Evans, Martin D. D. Lyons, Richard K.","Meese-Rogoff Redux: Micro-Based Exchange-Rate Forecasting","65",1
"1296","10.1257/000282805774669574","Andersen, Torben G. Bollerslev, Tim Diebold, Francis X. Wu, Jin","A Framework for Exploring the Macroeconomic Determinants of Systematic Risk","28",1
"1297","10.1257/000282805774669727","Bulow, Jeremy Rogoff, Kenneth","Grants versus Loans for Development Banks","13",1
"1298","10.1257/000282805774670437","Wright, Mark L. J.","Coordinating Creditors","10",1
"1299","10.1257/000282805774670013","Chari V. V. Kehoe, Patrick J. McGrattan, Ellen R.","Sudden Stops and Output Drops","29",1
"1300","10.1257/000282805774669989","Roth, Alvin E. Sönmez, Tayfun Utku Ünver M.","A Kidney Exchange Clearinghouse in New England","68",1
"1301","10.1257/000282805774669691","Niederle, Muriel Roth, Alvin E.","The Gastroenterology Fellowship Market: Should There Be a Match?","20",1
"1302","10.1257/000282805774669637","Abdulkadiroğlu, Atila Pathak, Parag A. Roth, Alvin E. Sönmez, Tayfun","The Boston Public School Match","121",1
"1303","10.1257/000282805774670167","Abdulkadiroğlu, Atila Pathak, Parag A. Roth, Alvin E.","The New York City High School Match","132",1
"1304","10.1257/000282805774669709","Zak, Paul J. Borja, Karla Matzner, William T. Kurzban, Robert","The Neuroeconomics of Distrust: Sex Differences in Behavior and Physiology","27",1
"1305","10.1257/000282805774670095","Lo, Andrew W. Repin, Dmitry V. Steenbarger, Brett N.","Fear and Greed in Financial Markets: A Clinical Study of Day-Traders","53",1
"1306","10.1257/000282805774669736","Fehr, Ernst Fischbacher, Urs Kosfeld, Michael","Neuroeconomic Foundations of Trust and Social Preferences: Initial Evidence","60",1
"1307","10.1257/000282805774670103","Singer, Tania Fehr, Ernst","The Neuroeconomics of Mind Reading and Empathy","62",1
"1308","10.1257/000282805774670077","Green, Richard K. Malpezzi, Stephen Mayo, Stephen K.","Metropolitan-Specific Estimates of the Price Elasticity of Supply of Housing, and Their Sources","84",1
"1309","10.1257/000282805774669961","Glaeser, Edward L. Gyourko, Joseph Saks, Raven E.","Why Have Housing Prices Gone Up?","104",1
"1310","10.1257/000282805774670293","Quigley, John M. Raphael, Steven","Regulation and the High Cost of Housing in California","104",1
"1311","10.1257/000282805774670022","Connolly, Michelle Valderrama, Diego","Implications of Intellectual Property Rights for Dynamic Gains from Trade","11",1
"1312","10.1257/000282805774670509","Pabilonia, Sabrina Wulff Zoghi, Cindy","Returning to the Returns to Computer Use","6",1
"1313","10.1257/000282805774669655","Aizcorbe, Ana","Moore's Law, Competition, and Intel's Productivity in the Mid-1990s","6",1
"1314","10.1257/000282805774669583","Fullerton, Don Gan, Li","Cost-Effective Policies to Reduce Vehicle Emissions","15",1
"1315","10.1257/000282805774669673","West, Sarah E. Williams III, Roberton C.","The Cost of Reducing Gasoline Consumption","17",1
"1316","10.1257/000282805774670482","Parry, Ian W. H.","Is Pay-as-You-Drive Insurance a Better Way to Reduce Gasoline than Gasoline Taxes?","12",1
"1317","10.1257/000282805774670536","Bento, Antonio M. Goulder, Lawrence H. Henry, Emeric Jacobsen, Mark R. von Haefen, Roger H.","Distributional and Efficiency Impacts of Gasoline Taxes: An Econometrically Based Multi-market Study","14",1
"1318","10.1257/000282805774670419","Cook, Philip J. Ostermann, Jan Sloan, Frank A.","The Net Effect of an Alcohol Tax Increase on Death Rates in Middle Age","5",1
"1319","10.1257/000282805774670284","Kenkel, Donald S.","Are Alcohol Tax Hikes Fully Passed Through to Prices? Evidence from Alaska","54",1
"1320","10.1257/000282805774670220","Carpenter, Christopher S.","Heavy Alcohol Use and the Commission of Nuisance Crime: Evidence from Underage Drunk Driving Laws","16",1
"1321","10.1257/000282805774669899","Markowitz, Sara Kaestner, Robert Grossman, Michael","An Investigation of the Effects of Alcohol Consumption and Alcohol Policies on Youth Risky Sexual Behaviors","20",1
"1322","10.1257/000282805774669943","Almond, Douglas Mazumder, Bhashkar","The 1918 Influenza Pandemic and Subsequent Health Outcomes: An Analysis of SIPP Data","60",1
"1323","10.1257/000282805774670266","Lakdawalla, Darius Philipson, Tomas Bhattacharya, Jay","Welfare-Enhancing Technological Change and the Growth of Obesity","84",1
"1324","10.1257/000282805774670248","Aizer, Anna Lleras-Muney, Adriana Stabile, Mark","Access to Care, Provider Choice, and the Infant Health Gradient","3",1
"1325","10.1257/000282805774670329","Gaynor, Martin Seider, Harald Vogt, William B.","The Volume-Outcome Effect, Scale Economies, and Learning-by-Doing","36",1
"1326","10.1257/000282805774670464","Cutler, David M. Glaeser, Edward","What Explains Differences in Smoking, Drinking, and Other Health-Related Behaviors?","31",1
"1327","10.1257/000282805774669907","Goldman, Dana Smith, James P.","Socioeconomic Differences in the Adoption of New Medical Technologies","15",1
"1328","10.1257/000282805774670310","Case, Anne Deaton, Angus","Health and Wealth among the Poor: India and South Africa Compared","16",1
"1329","10.1257/000282805774669808","Finkelstein, Amy McGarry, Kathleen Sufi, Amir","Dynamic Inefficiencies in Insurance Markets: Evidence from Long-Term Care Insurance","21",1
"1330","10.1257/000282805774669844","Pauly, Mark V.","Effects of Insurance Coverage on Use of Care and Health Outcomes for Nonpoor Young Women","7",1
"1331","10.1257/000282805774670121","Baicker, Katherine Chandra, Amitabh","The Consequences of the Growth of Health Insurance Premiums","4",1
"1332","10.1257/000282805774669600","Chernew, Michael Cutler, David Keenan, Patricia Seliger","Charity Care, Risk Pooling, and the Decline in Private Health Insurance","4",1
"1333","10.1257/000282805774670086","Schmidt, Lucie","Infertility Insurance Mandates and Fertility","6",1
"1334","10.1257/000282805774670158","Whitmore, Diane","Resource and Peer Impacts on Girls' Academic Achievement: Evidence from a Randomized Experiment","36",1
"1335","10.1257/000282805774670176","Kalenkoski, Charlene M. Ribar, David C. Stratton, Leslie S.","Parental Child Care in Single-Parent, Cohabiting, and Married-Couple Families: Time-Diary Evidence from the United Kingdom","42",1
"1336","10.1257/000282805774669763","Adsera, Alicia","Vanishing Children: From High Unemployment to Low Fertility in Developed Countries","51",1
"1337","10.1257/000282805774669772","Ehrenberg, Ronald G.","Involving Undergraduates in Research To Encourage Them To Undertake Ph.D. Study in Economics","6",1
"1338","10.1257/000282805774670383","Walstad, William B. Allgood, Sam","Views of Teaching and Research in Economics and Other Disciplines","4",1
"1339","10.1257/000282805774669790","Becker, William E. Kennedy, Peter E.","Does Teaching Enhance Research in Economics?","10",1
"1340","10.1257/000282805774669628","Boyd, Donald Lankford, Hamilton Loeb, Susanna Wyckoff, James","Explaining the Short Careers of High-Achieving Teachers in Schools with Low-Performing Students","88",1
"1341","10.1257/000282805774670149","Bettinger, Eric P. Long, Bridget Terry","Do Faculty Serve as Role Models? The Impact of Instructor Gender on Female Students","71",1
"1342","10.1257/000282805774669925","Solnick, Sara J. Hemenway, David","Are Positional Concerns Stronger in Some Domains than in Others?","84",1
"1343","10.1257/000282805774669718","Kniesner, Thomas J. Viscusi, W. Kip","Value of a Statistical Life: Relative Position vs. Relative Age","8",1
