,abstract,author,doi,journal,pdf_url,publication_date,title,url,year,index
118,"<p>This paper examines the role of leverage in tender offers for widely held firms. We show that a leveraged “bootstrap acquisition” can implement an outcome that—from an economic perspective—is quite similar to the outcome implemented by the Grossman-Hart dilution mechanism. To raise the funds for the takeover, the raider initially sets up a new acquisition subsidiary that issues debt backed by the target's assets and future cash flows. In the first step of the acquisition, the raider acquires a majority of the target's stock through a tender offer. In a second step, the target is merged with the raider's indebted acquisition subsidiary. The fact that the acquisition subsidiary is indebted lowers the combined firm's share value and thus the incentives for target shareholders to hold out in the tender offer. This allows the raider to lower the bid price, make a profit, and overcome the free-rider problem.</p>","Müller, Holger M. Panunzi, Fausto",10.1162/0033553042476198,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/119/4/1217/5236091/119-4-1217.pdf,2004/11/01,Tender Offers and Leverage,https://academic.oup.com/qje/article/119/4/1217/1851069/Tender-Offers-and-Leverage,2004,61
119,"<p>I study bequest and wealth accumulation behavior of the wealthy (subject to the estate tax) shortly before death. The onset of a terminal illness leads to a very significant reduction in the value of estates reported on tax returns—fifteen to twenty percent with illness lasting “months to years” and about five to ten percent in the case of illness reported as lasting “days to weeks.” I provide evidence suggesting that these findings cannot be explained by real shocks to net worth, such as medical expenses or lost income, but instead reflect “deathbed” estate planning. The results suggest that wealthy individuals actively care about disposition of their estates but that this preference is dominated by the desire to hold on to their wealth while alive.</p>","Kopczuk, Wojciech",10.1162/qjec.2007.122.4.1801,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1801/5234562/122-4-1801.pdf,2007/11/01,Bequest and Tax Planning: Evidence from Estate Tax Returns,https://academic.oup.com/qje/article/122/4/1801/1850524/Bequest-and-Tax-Planning-Evidence-from-Estate-Tax,2007,62
120,"<p>This paper analyzes the relationship between the diffusion of new technologies and the decentralization of firms. Centralized control relies on the information of the principal, which we equate with publicly available information. Decentralized control, on the other hand, delegates authority to a manager with superior information. However, the manager can use his informational advantage to make choices that are not in the best interest of the principal. As the available public information about the specific technology increases, the tradeoff shifts in favor of centralization. We show that firms closer to the technological frontier, firms in more heterogeneous environments, and younger firms are more likely to choose decentralization. Using three data sets on French and British firms in the 1990s, we report robust correlations consistent with these predictions.</p>","Acemoglu, Daron Aghion, Philippe Lelarge, Claire Van Reenen, John Zilibotti, Fabrizio",10.1162/qjec.2007.122.4.1759,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1759/5234557/122-4-1759.pdf,2007/11/01,"Technology, Information, and the Decentralization of the Firm",https://academic.oup.com/qje/article/122/4/1759/1850520/Technology-Information-and-the-Decentralization-of,2007,63
121,"<p>We study the allocation of driver's licenses in India by randomly assigning applicants to one of three groups: bonus (offered a bonus for obtaining a license quickly), lesson (offered free driving lessons), or comparison. Both the bonus and lesson groups are more likely to obtain licenses. However, bonus group members are more likely to make extralegal payments and to obtain licenses without knowing how to drive. All extralegal payments happen through private intermediaries (“agents”). An audit study of agents reveals that they can circumvent procedures such as the driving test. Overall, our results support the view that corruption does not merely reflect transfers from citizens to bureaucrats but distorts allocation.</p>","Bertrand, Marianne Djankov, Simeon Hanna, Rema Mullainathan, Sendhil",10.1162/qjec.2007.122.4.1639,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1639/5234538/122-4-1639.pdf,2007/11/01,Obtaining a Driver's License in India: An Experimental Approach to Studying Corruption,https://academic.oup.com/qje/article/122/4/1639/1850513/Obtaining-a-Driver-s-License-in-India-An,2007,64
122,"<p>To study the effects of new information technologies (IT) on productivity, we have assembled a unique data set on plants in one narrowly defined industry—valve manufacturing—and analyze several plant-level mechanisms through which IT could promote productivity growth. The empirical analysis reveals three main results. First, plants that adopt new IT-enhanced equipment also shift their business strategies by producing more customized valve products. Second, new IT investments improve the efficiency of all stages of the production process by reducing setup times, run times, and inspection times. The reductions in setup times are theoretically important because they make it less costly to switch production from one product to another and support the change in business strategy to more customized production. Third, adoption of new IT-enhanced capital equipment coincides with increases in the skill requirements of machine operators, notably technical and problem-solving skills, and with the adoption of new human resource practices to support these skills.</p>","Bartel, Ann Ichniowski, Casey Shaw, Kathryn",10.1162/qjec.2007.122.4.1721,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1721/5234553/122-4-1721.pdf,2007/11/01,"How Does Information Technology Affect Productivity? Plant-Level Comparisons of Product Innovation, Process Improvement, and Worker Skills",https://academic.oup.com/qje/article/122/4/1721/1850517/How-Does-Information-Technology-Affect,2007,65
123,"<p>While privatizing social security can improve labor supply incentives, it can also reduce risk sharing. We analyze a 50% privatization using an overlapping-generations model where heterogeneous agents with elastic labor supply face idiosyncratic earnings shocks and longevity uncertainty. When wage shocks are insurable, privatization produces about $18,100 of extra resources for each future household after all transitional losses have been compensated for with lump-sum taxes. When wages are not insurable, privatization <em>reduces</em> efficiency by about $2,400 per future household. We check the robustness of these results to different model specifications as well as policy reforms and arrive at several surprising conclusions. First, privatization performs better in a closed economy, where interest rates decline with capital accumulation, than in an open economy. Second, privatization also performs better when an actuarially fair private annuity market does <em>not</em> exist. Third, government matching of private contributions on a progressive basis is not very effective at restoring efficiency and can actually cause harm.</p>","Nishiyama, Shinichi Smetters, Kent",10.1162/qjec.2007.122.4.1677,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1677/5234546/122-4-1677.pdf,2007/11/01,Does Social Security Privatization Produce Efficiency Gains?,https://academic.oup.com/qje/article/122/4/1677/1850514/Does-Social-Security-Privatization-Produce,2007,66
124,"<p>This paper examines revealed preferences of parents for their children's education, using parent requests for individual elementary school teachers and information on teacher attributes, including principal reports of teacher characteristics that are typically unobservable. On average, parents strongly prefer teachers whom principals describe as good at promoting student satisfaction, though they also value teacher ability to raise academic achievement. These aggregate effects mask striking differences across schools. Families in higher poverty schools strongly value student achievement and appear indifferent to the principal's report of a teacher's ability to promote student satisfaction. The results are reversed for families in wealthier schools.</p>","Jacob, Brian A. Lefgren, Lars",10.1162/qjec.2007.122.4.1603,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1603/5234534/122-4-1603.pdf,2007/11/01,What Do Parents Value in Education? An Empirical Investigation of Parents' Revealed Preferences for Teachers,https://academic.oup.com/qje/article/122/4/1603/1850511/What-Do-Parents-Value-in-Education-An-Empirical,2007,67
125,"<p>This paper presents new tests of the permanent income hypothesis and other widely used models of household behavior using data from the labor market. We estimate the excess sensitivity of job search behavior to cash-on-hand using sharp discontinuities in eligibility for severance pay and extended unemployment insurance (UI) benefits in Austria. Analyzing data for over one-half million job losers, we obtain three empirical results: (1) a lump-sum severance payment equal to two months of earnings reduces the job-finding rate by 8%–12% on average; (2) an extension of the potential duration of UI benefits from 20 weeks to 30 weeks similarly lowers job-finding rates in the first 20 weeks of search by 5%–9%; and (3) increases in the duration of search induced by the two programs have little or no effect on subsequent job match quality. Using a search-theoretic model, we show that estimates of the relative effect of severance pay and extended benefits can be used to calibrate and test a wide set of intertemporal models. Our estimates of this ratio are inconsistent with the predictions of a simple permanent income model, as well as naive rule of thumb behavior. The representative job searcher in our data is 70% of the way between the permanent income benchmark and credit-constrained behavior in terms of sensitivity to cash-on-hand.</p>","Card, David Chetty, Raj Weber, Andrea",10.1162/qjec.2007.122.4.1511,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1511/5234515/122-4-1511.pdf,2007/11/01,Cash-on-Hand and Competing Models of Intertemporal Behavior: New Evidence from the Labor Market,https://academic.oup.com/qje/article/122/4/1511/1850504/Cash-on-Hand-and-Competing-Models-of-Intertemporal,2007,68
126,"<p>Between 1996 and 2003, the Peruvian government issued property titles to over 1.2 million urban households, the largest titling program targeted at urban squatters in the developing world. This paper examines the labor market effects of increases in tenure security resulting from the program. To isolate the causal role of ownership rights, I make use of differences across regions induced by the timing ofthe program and differences across target populations in level of preprogram ownership rights. My estimates suggest that titling results in a substantial increase in labor hours, a shift in labor supply away from work at home to work in the outside market, and substitution of adult for child labor.</p>","Field, Erica",10.1162/qjec.2007.122.4.1561,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1561/5234528/122-4-1561.pdf,2007/11/01,Entitled to Work: Urban Property Rights and Labor Supply in Peru,https://academic.oup.com/qje/article/122/4/1561/1850508/Entitled-to-Work-Urban-Property-Rights-and-Labor,2007,69
127,<p>This paper develops an approach to studying how bias in favor of one party due to the pattern of electoral districting affects policy choice. We tie a commonly used measure of electoral bias to the theory of party competition and show how this affects party strategy in theory. The usefulness of the approach is illustrated using data on local government in England. The results suggest that reducing electoral bias leads parties to moderate their policies.</p>,"Besley, Timothy Preston, Ian",10.1162/qjec.2007.122.4.1473,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1473/5234511/122-4-1473.pdf,2007/11/01,Electoral Bias and Policy Choice: Theory and Evidence,https://academic.oup.com/qje/article/122/4/1473/1850501/Electoral-Bias-and-Policy-Choice-Theory-and,2007,70
128,"<p>This paper investigates the problem of optimal districting in the context of a simple model of legislative elections. In the model, districting matters because it determines the seat-vote curve, which describes the relationship between seats and votes. The paper first characterizes the optimal seat-vote curve and shows that, under a weak condition, there exist districtings that generate this ideal relationship. The paper then develops an empirical methodology for computing seat-vote curves and measuring the welfare gains from implementing optimal districting. This is applied to analyze the districting plans used to elect U.S. state legislators during the 1990s.</p>","Coate, Stephen Knight, Brian",10.1162/qjec.2007.122.4.1409,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1409/5234505/122-4-1409.pdf,2007/11/01,Socially Optimal Districting: A Theoretical and Empirical Exploration,https://academic.oup.com/qje/article/122/4/1409/1850496/Socially-Optimal-Districting-A-Theoretical-and,2007,71
129,"<p>We use an innovative survey tool to collect <em>management practice</em> data from 732 medium-sized firms in the United States, France, Germany, and the United Kingdom. These measures of managerial practice are strongly associated with firm-level productivity, profitability, Tobin's <em>Q</em>, and survival rates. Management practices also display significant cross-country differences, with U.S. firms on average better managed than European firms, and significant within-country differences, with a long tail of extremely badly managed firms. We find that poor management practices are more prevalent when product market competition is weak and/or when family-owned firms pass management control down to the eldest sons (primogeniture).</p>","Bloom, Nicholas Van Reenen, John",10.1162/qjec.2007.122.4.1351,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/122/4/1351/5234498/122-4-1351.pdf,2007/11/01,Measuring and Explaining Management Practices Across Firms and Countries,https://academic.oup.com/qje/article/122/4/1351/1850493/Measuring-and-Explaining-Management-Practices,2007,72
130,"<p>As a remedy for the notorious deficiency of pre-Civil War U. S. macroeconomic data, this study introduces an annual index of American industrial production consistently defined from 1790 until World War I. The index incorporates 43 quantity-based annual series (most entirely new) in the manufacturing and mining industries in a manner similar to the Federal Reserve Board's monthly industrial production index. The index changes our view of the growth and volatility of the U. S. economy before World War I. A direct implication of the index is that antebellum-postbellum differences in industrial volatility are statistically indistinguishable. The index also demonstrates that the pernicious deflationary depressions that purportedly followed the financial panics in 1837 and 1873 were actually rather mild recessions when expressed in real output.</p>","Davis, Joseph H.",10.1162/0033553042476143,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/119/4/1177/5236084/119-4-1177.pdf,2004/11/01,"An Annual Index of U. S. Industrial Production, 1790–1915",https://academic.oup.com/qje/article/119/4/1177/1851064/An-Annual-Index-of-U-S-Industrial-Production-1790,2004,73
131,"<p>We present an equilibrium theory of the organization of work in an economy where knowledge is an essential input in production and agents are heterogeneous in skill. Agents organize production by matching with others in knowledge hierarchies designed to use and communicate their knowledge efficiently. Relative to autarky, organization leads to larger cross-sectional differences in knowledge and wages: low skill workers learn and earn relatively less. We show that improvements in the technology to acquire knowledge lead to opposite implications on wage inequality and organization than reductions in communication costs.</p>","Garicano, Luis Rossi-Hansberg, Esteban",10.1093/qje/121.4.1383,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1383/5248552/121-4-1383.pdf,2006/11/01,Organization and Inequality in a Knowledge Economy,https://academic.oup.com/qje/article/121/4/1383/1855229/Organization-and-Inequality-in-a-Knowledge-Economy,2006,74
132,"<p>We analyze a randomized experiment in which 14,000 tax filers in H&amp;R Block offices in St. Louis received matches of zero, 20 percent, or 50 percent of IRA contributions. Take-up rates were 3 percent, 8 percent, and 14 percent, respectively. Among contributors, contributions, excluding the match, averaged $765 in the control group and $1100 in the match groups. Taxpayer responses to similar incentives in the Saver's Credit are much smaller. Taxpayers did not game the experiment by receiving a match and strategically withdrawing funds. Tax professionals significantly influenced contribution choices. These results suggest that both incentives and information affect behavior.</p>","Duflo, Esther Gale, William Liebman, Jeffrey Orszag, Peter Saez, Emmanuel",10.1093/qje/121.4.1311,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1311/5248542/121-4-1311.pdf,2006/11/01,Saving Incentives for Low- and Middle-Income Families: Evidence from a Field Experiment with H&R Block,https://academic.oup.com/qje/article/121/4/1311/1855225/Saving-Incentives-for-Low-and-Middle-Income,2006,75
133,"<p>In a laboratory experiment we show that minimum wages have significant and lasting effects on subjects' reservation wages. The temporary introduction of a minimum wage leads to a rise in subjects' reservation wages which persists even after the minimum wage has been removed. Firms are therefore forced to pay higher wages after the removal of the minimum wage than before its introduction. As a consequence, the employment effects of removing the minimum wage are significantly smaller than are the effects of its introduction. The impact of minimum wages on reservation wages may also explain the anomalously low utilization of subminimum wages if employers are given the opportunity to pay less than a minimum wage previously introduced. It may further explain why employers often increase workers' wages after an increase in the minimum wage by an amount exceeding that necessary for compliance with the higher minimum. At a more general level, our results suggest that economic policy may affect people's behavior by shaping the perception of what is a fair transaction and by creating entitlement effects.</p>","Falk, Armin Fehr, Ernst Zehnder, Christian",10.1093/qje/121.4.1347,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1347/5248548/121-4-1347.pdf,2006/11/01,Fairness Perceptions and Reservation Wages—the Behavioral Effects of Minimum Wage Laws,https://academic.oup.com/qje/article/121/4/1347/1855227/Fairness-Perceptions-and-Reservation-Wages-the,2006,76
134,"<p>Expected utility theory, prospect theory, and most other models of risky choice are based on the fundamental premise that individuals choose among risky prospects by balancing the value of the possible consequences. These models, therefore, require that the value of a risky prospect lie between the value of that prospect's highest and lowest outcome. Although this requirement seems essential for any theory of risky decision-making, we document a violation of this condition in which individuals value a risky prospect <em>less</em> than its worst possible realization. This demonstration, which we term the <em>uncertainty effect</em>, draws from more than 1000 experimental participants, and includes hypothetical and real pricing and choice tasks, as well as field experiments in real markets with financial incentives. Our results suggest that there are choice situations in which decision-makers discount lotteries for uncertainty in a manner that cannot be accommodated by standard models of risky choice.</p> <p><em>From the time of Bernoulli on, it has been common to argue that (a) individuals tend to display aversion to the taking of risks, and (b) that risk aversion in turn is an explanation for many observed phenomena in the economic world</em> [Arrow 1971, p. 90].</p>","Gneezy, Uri List, John A. Wu, George",10.1093/qje/121.4.1283,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1283/5248540/121-4-1283.pdf,2006/11/01,The Uncertainty Effect: When a Risky Prospect is Valued Less than its Worst Possible Outcome,https://academic.oup.com/qje/article/121/4/1283/1855222/The-Uncertainty-Effect-When-a-Risky-Prospect-is,2006,77
135,"<p>This paper explores to what extent secondary policy issues are influenced by electoral incentives. We develop a two-dimensional political agency model, in which a politician decides on both a frontline policy issue and a secondary policy issue. The model predicts when the incumbent should manipulate the secondary policy to attract voters. We test our model by using panel data on environmental policy choices in the U. S. states. In contrast to the popular view that secondary policies are largely determined by lobbying, we find that there are strong effects of electoral incentives.</p>","List, John A. Sturm, Daniel M.",10.1093/qje/121.4.1249,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1249/5248527/121-4-1249.pdf,2006/11/01,How Elections Matter: Theory and Evidence from Environmental Policy,https://academic.oup.com/qje/article/121/4/1249/1855220/How-Elections-Matter-Theory-and-Evidence-from,2006,78
136,"<p>From 1997 through 2003, the UN Oil for Food Program allowed Iraq to export oil for humanitarian supplies. We hypothesize that Iraq deliberately set the price of its oil below market prices to solicit bribes from oil buyers. By comparing the price gap between Iraqi oil and its close substitutes during the Program to the gap prior to the Program, we find evidence of significant underpricing. Our central estimate suggests that Iraq collected $1.3 billion in bribes from underpricing its oil, or 2 percent of oil revenues. Underpricing is higher during periods of high volatility in oil markets—when detection is more difficult—but declines after the UN limited Iraq's ability to set the price of its oil.</p>","Hsieh, Chang-Tai Moretti, Enrico",10.1093/qje/121.4.1211,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1211/5248523/121-4-1211.pdf,2006/11/01,"Did Iraq Cheat the United Nations? Underpricing, Bribes, and the Oil for Food Program",https://academic.oup.com/qje/article/121/4/1211/1855218/Did-Iraq-Cheat-the-United-Nations-Underpricing,2006,79
137,"<p>We analyze a “golden rule” that separates capital and ordinary account budgets and allows a government to finance only capital items with debt. Many national governments followed this rule in the eighteenth and nineteenth centuries, and most U. S. states do today. We study an overlapping-generations economy where majorities choose durable and nondurable public goods in each period. When demographics imply even moderate departures from Ricardian equivalence, the golden rule substantially improves efficiency. Examples calibrated to U. S. demographics show greater improvements at the state level or with nineteenth century demographics than under current national demographics.</p>","Bassetto, Marco",10.1093/qje/121.4.1167,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1167/5248516/121-4-1167.pdf,2006/11/01,Politics and Efficiency of Separating Capital and Ordinary Government Budgets,https://academic.oup.com/qje/article/121/4/1167/1855216/Politics-and-Efficiency-of-Separating-Capital-and,2006,80
138,"<p>We develop a model of reference-dependent preferences and loss aversion where “gain-loss utility” is derived from standard “consumption utility” and the reference point is determined endogenously by the economic environment. We assume that a person's reference point is her rational expectations held in the recent past about outcomes, which are determined in a <em>personal equilibrium</em> by the requirement that they must be consistent with optimal behavior given expectations. In deterministic environments, choices maximize consumption utility, but gain-loss utility influences behavior when there is uncertainty. Applying the model to consumer behavior, we show that willingness to pay for a good is increasing in the expected probability of purchase and in the expected prices conditional on purchase. In within-day labor-supply decisions, a worker is less likely to continue work if income earned thus far is unexpectedly high, but more likely to show up as well as continue work if expected income is high.</p>","Kőszegi, Botond Rabin, Matthew",10.1093/qje/121.4.1133,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/121/4/1133/5248508/121-4-1133.pdf,2006/11/01,A Model of Reference-Dependent Preferences,https://academic.oup.com/qje/article/121/4/1133/1855210/A-Model-of-Reference-Dependent-Preferences,2006,81
146,"<p>This paper documents changing inequality in employer-provided fringe benefits in the United States using much more comprehensive data than previously available. Inequality growth in broader measures of compensation slightly exceeds wage inequality growth over the 1981–1997 period. Employer costs due to paid leave, pensions, and health insurance fell for low wage labor and rose for high wage labor over this period. The findings suggest income effects as a contributory factor in the relative decline of fringe benefits among low wage workers.</p>","Pierce, Brooks",10.1162/003355301753265633,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1493/5372911/116-4-1493.pdf,2001/11/01,Compensation Inequality,https://academic.oup.com/qje/article/116/4/1493/1903266/Compensation-Inequality,2001,82
148,"<p>This paper investigates the determination and consequences of organizational changes (<em>OC</em>) in a panel of British and French establishments. Organizational changes include the decentralization of authority, delayering of managerial functions, and increased multitasking. We argue that <em>OC</em> and skills are complements. We offer support for the hypothesis of “skill-biased” organizational change with three empirical findings. First, organizational changes reduce the demand for unskilled workers in both countries. Second, <em>OC</em> is negatively associated with increases in regional skill price differentials (a measure of the relative supply of skill). Third, <em>OC</em> leads to greater productivity increases in establishments with larger initial skill endowments. Technical change is also complementary with human capital, but the effects of OC is not simply due to its correlation with technological change but has an independent role.</p>","Caroli, Eve Van Reenen, John",10.1162/003355301753265624,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1449/5372883/116-4-1449.pdf,2001/11/01,Skill-Biased Organizational Change? Evidence from A Panel of British and French Establishments,https://academic.oup.com/qje/article/116/4/1449/1903249/Skill-Biased-Organizational-Change-Evidence-from-A,2001,83
150,"<p>The majority of U. S. temporary help supply (THS) firms offer nominally free, unrestricted computer skills training, a practice inconsistent with the competitive model of training. I propose and test a model in which firms offer general training to induce self-selection and perform screening of worker ability. The model implies, and the data confirm, that firms providing training attract higher ability workers yet pay them lower wages <em>after</em> training. Thus, beyond providing spot market labor, THS firms sell information about worker quality to their clients. The rapid growth of THS employment suggests that demand for worker screening is rising.</p>","Autor, David H.",10.1162/003355301753265615,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1409/5372870/116-4-1409.pdf,2001/11/01,Why Do Temporary Help Firms Provide Free General Skills Training?,https://academic.oup.com/qje/article/116/4/1409/1903245/Why-Do-Temporary-Help-Firms-Provide-Free-General,2001,84
151,"<p>Immigration increased Israel's population by 12 percent between 1990 and 1994, after emigration restrictions were lifted in an unstable Soviet Union. Following the influx, occupations that employed more immigrants had substantially lower native wage growth and slightly lower native employment growth than others. However, because the immigrants' postmigration occupational distribution was influenced by relative labor market conditions across occupations in Israel, Ordinary Least Squares estimates of the immigrants' impact on those conditions are biased. Instrumental Variables estimation, exploiting information on the immigrants' former occupations abroad, suggests no adverse impact of immigration on native outcomes.</p>","Friedberg, Rachel M.",10.1162/003355301753265606,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1373/5372863/116-4-1373.pdf,2001/11/01,The Impact of Mass Migration on the Israeli Labor Market,https://academic.oup.com/qje/article/116/4/1373/1903234/The-Impact-of-Mass-Migration-on-the-Israeli-Labor,2001,85
153,"<p>There has been a dramatic change in the division of responsibility between the state and the private sector for the delivery of public goods and services in recent years with an increasing trend toward contracting out to the private sector and “public-private partnerships.” This paper analyzes how ownership matters in public good provision. We show that if contracts are incomplete then the ownership of a public good should lie with a party that values the benefits generated by it relatively more. This is true regardless of whether this party is also the key investor, or other aspects of the technology.</p>","Besley, Timothy Ghatak, Maitreesh",10.1162/003355301753265598,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1343/5372847/116-4-1343.pdf,2001/11/01,Government Versus Private Ownership of Public Goods,https://academic.oup.com/qje/article/116/4/1343/1903229/Government-Versus-Private-Ownership-of-Public,2001,86
155,"<p>Many social commentators have raised concerns over the possibility that increased sorting in society may lead to greater inequality. To investigate this, we construct a dynamic model of intergenerational education acquisition, fertility, and marital sorting and parameterize the steady state to match several basic empirical findings. We find that increased sorting will significantly increase income inequality. Four factors are important to our findings: a negative correlation between fertility and education, a decreasing marginal effect of parental education on children's years of education, wages that are sensitive to the relative supply of skilled workers, and borrowing constraints that affect educational attainment for some low-income households.</p>","Fernández, Raquel Rogerson, Richard",10.1162/003355301753265589,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1305/5372834/116-4-1305.pdf,2001/11/01,Sorting and Long-Run Inequality,https://academic.oup.com/qje/article/116/4/1305/1903222/Sorting-and-Long-Run-Inequality,2001,87
156,"<p>School finance equalization has probably affected American schools more than any other reform of the last 30 years. Understanding it is a prerequisite for making optimal social investments in human capital. Yet, it is poorly understood. In this paper I explain why: it differs from conventional redistribution because it is based on property values, which are <em>endogenous</em> to schools' productivity, taste for education, and the school finance system itself. I characterize equalization schemes and show why some “level down” and others “level up.” Schemes that strongly level down have unintended consequences: even poor districts can end up worse off. I also show how school finance equalization affects property prices, private school attendance, and student achievement.</p>","Hoxby, Caroline M.",10.1162/003355301753265552,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1189/5372776/116-4-1189.pdf,2001/11/01,All School Finance Equalizations are Not Created Equal,https://academic.oup.com/qje/article/116/4/1189/1903168/All-School-Finance-Equalizations-are-Not-Created,2001,88
157,"<p>This paper makes two contributions to the modeling of addiction. First, we provide new and convincing evidence that smokers are forward-looking in their smoking decisions, using state excise tax increases that have been legislatively enacted but are not yet effective, and monthly data on consumption. Second, we recognize the strong evidence that preferences with respect to smoking are time inconsistent, with individuals both not recognizing the true difficulty of quitting and searching for self-control devices to help them quit. We develop a new model of addictive behavior that takes as its starting point the standard “rational addiction” model, but incorporates time-inconsistent preferences. This model also exhibits forward-looking behavior, but it has strikingly different normative implications; in this case optimal government policy should depend not only on the externalities that smokers impose on others but also on the “internalities” imposed by smokers on themselves. We estimate that the optimal tax per pack of cigarettes should he at least one dollar higher under our formulation than in the rational addiction case.</p>","Gruber, Jonathan Köszegi, Botond",10.1162/003355301753265570,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1261/5372816/116-4-1261.pdf,2001/11/01,Is Addiction “Rational”? Theory and Evidence,https://academic.oup.com/qje/article/116/4/1261/1903215/Is-Addiction-Rational-Theory-and-Evidence,2001,89
158,"<p>This paper analyzes the impact of automatic enrollment on 401(k) savings behavior. We have two key findings. First, 401(k) participation is significantly higher under automatic enrollment. Second, a substantial fraction of 401(k) participants hired under automatic enrollment retain both the default contribution rate and fund allocation even though few employees hired before automatic enrollment picked this particular outcome. This “default” behavior appears to result from participant inertia and from employee perceptions of the default as investment advice. These findings have implications for the design of 401(k) savings plans as well as for any type of Social Security reform that includes personal accounts over which individuals have control. They also shed light more generally on the importance of both economic and noneconomic (behavioral) factors in the determination of individual savings behavior.</p>","Madrian, Brigitte C. Shea, Dennis F.",10.1162/003355301753265543,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1149/5372689/116-4-1149.pdf,2001/11/01,The Power of Suggestion: Inertia in 401(k) Participation and Savings Behavior,https://academic.oup.com/qje/article/116/4/1149/1903159/The-Power-of-Suggestion-Inertia-in-401-k,2001,90
159,"<p>Data from downtown Boston in the 1990s show that loss aversion determines seller behavior in the housing market. Condominium owners subject to nominal losses 1) set higher asking prices of 25–35 percent of the difference between the property's expected selling price and their original purchase price; 2) attain higher selling prices of 3–18 percent of that difference; and 3) exhibit a much lower sale hazard than other sellers. The list price results are twice as large for owneroccupants as investors, but hold for both. These findings suggest that sellers are averse to realizing (nominal) losses and help explain the positive price-volume correlation in real estate markets.</p>","Genesove, David Mayer, Christopher",10.1162/003355301753265561,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/116/4/1233/5372802/116-4-1233.pdf,2001/11/01,Loss Aversion and Seller Behavior: Evidence from the Housing Market,https://academic.oup.com/qje/article/116/4/1233/1903212/Loss-Aversion-and-Seller-Behavior-Evidence-from,2001,91
249,"<p>This paper analyzes the effects of changes in the duration of paid, job-protected parental leave on mothers' higher-order fertility and postbirth labor market careers. Identification is based on a major Austrian reform increasing the duration of parental leave from one year to two years for any child born on or after July 1, 1990. We find that mothers who give birth to their first child immediately after the reform have more second children than prereform mothers, and that extended parental leave significantly reduces return to work. Employment and earnings also decrease in the short run, but not in the long run. Fertility and work responses vary across the population in ways suggesting that both cash transfers and job protection are relevant. Increasing parental leave for a future child increases fertility strongly but leaves short-run postbirth careers relatively unaffected. Partially reversing the 1990 extension, a second 1996 reform improves employment and earnings while compressing the time between births.</p>","Lalive, Rafael Zweimüller, Josef",10.1162/qjec.2009.124.3.1363,The Quarterly Journal of Economics,https://academic.oup.com/qje/article-pdf/124/3/1363/5377856/124-3-1363.pdf,2009/08/01,How Does Parental Leave Affect Fertility and Return to Work? Evidence from Two Natural Experiments,https://academic.oup.com/qje/article/124/3/1363/1905162/How-Does-Parental-Leave-Affect-Fertility-and,2009,92
